Label,Desc,Decision Option,Trade_off
Excluding Family Labour,1,rice-maize-coconut-areca palm,-483.6071937
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2701.993411
Excluding Family Labour,1,rice-maize-coconut-areca palm,-5029.727892
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4214.698301
Excluding Family Labour,1,rice-maize-coconut-areca palm,-5498.525227
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1428.542567
Excluding Family Labour,1,rice-maize-coconut-areca palm,-10402.39062
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2789.473664
Excluding Family Labour,1,rice-maize-coconut-areca palm,2381.098025
Excluding Family Labour,1,rice-maize-coconut-areca palm,1662.883769
Excluding Family Labour,1,rice-maize-coconut-areca palm,-266.0110036
Excluding Family Labour,1,rice-maize-coconut-areca palm,-5083.586011
Excluding Family Labour,1,rice-maize-coconut-areca palm,-456.6565525
Excluding Family Labour,1,rice-maize-coconut-areca palm,-263.5186066
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4882.541064
Excluding Family Labour,1,rice-maize-coconut-areca palm,-6543.841758
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3500.030176
Excluding Family Labour,1,rice-maize-coconut-areca palm,-138.9588354
Excluding Family Labour,1,rice-maize-coconut-areca palm,2846.948051
Excluding Family Labour,1,rice-maize-coconut-areca palm,2113.502045
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3633.206105
Excluding Family Labour,1,rice-maize-coconut-areca palm,6156.98165
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3485.031174
Excluding Family Labour,1,rice-maize-coconut-areca palm,6399.172172
Excluding Family Labour,1,rice-maize-coconut-areca palm,-5212.068727
Excluding Family Labour,1,rice-maize-coconut-areca palm,693.0046777
Excluding Family Labour,1,rice-maize-coconut-areca palm,952.3818005
Excluding Family Labour,1,rice-maize-coconut-areca palm,-322.764016
Excluding Family Labour,1,rice-maize-coconut-areca palm,-6715.479968
Excluding Family Labour,1,rice-maize-coconut-areca palm,525.4334311
Excluding Family Labour,1,rice-maize-coconut-areca palm,2852.735869
Excluding Family Labour,1,rice-maize-coconut-areca palm,-255.1129535
Excluding Family Labour,1,rice-maize-coconut-areca palm,857.2725683
Excluding Family Labour,1,rice-maize-coconut-areca palm,4338.39378
Excluding Family Labour,1,rice-maize-coconut-areca palm,2168.261139
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2872.955398
Excluding Family Labour,1,rice-maize-coconut-areca palm,-812.0313965
Excluding Family Labour,1,rice-maize-coconut-areca palm,3738.618072
Excluding Family Labour,1,rice-maize-coconut-areca palm,4720.519762
Excluding Family Labour,1,rice-maize-coconut-areca palm,-12049.52097
Excluding Family Labour,1,rice-maize-coconut-areca palm,-759.7881258
Excluding Family Labour,1,rice-maize-coconut-areca palm,2375.175089
Excluding Family Labour,1,rice-maize-coconut-areca palm,-6678.85846
Excluding Family Labour,1,rice-maize-coconut-areca palm,94.85771504
Excluding Family Labour,1,rice-maize-coconut-areca palm,-7278.350732
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1896.129388
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3046.081978
Excluding Family Labour,1,rice-maize-coconut-areca palm,3198.372911
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1694.819662
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4820.226276
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2694.819202
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2106.961741
Excluding Family Labour,1,rice-maize-coconut-areca palm,8684.1028
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2274.759008
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2929.180554
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4235.261203
Excluding Family Labour,1,rice-maize-coconut-areca palm,-122.5939339
Excluding Family Labour,1,rice-maize-coconut-areca palm,16.67680945
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1764.084695
Excluding Family Labour,1,rice-maize-coconut-areca palm,1028.820513
Excluding Family Labour,1,rice-maize-coconut-areca palm,-8295.129193
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3536.11669
Excluding Family Labour,1,rice-maize-coconut-areca palm,8427.735478
Excluding Family Labour,1,rice-maize-coconut-areca palm,-8211.281969
Excluding Family Labour,1,rice-maize-coconut-areca palm,-6946.193488
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4118.702459
Excluding Family Labour,1,rice-maize-coconut-areca palm,1556.776527
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1325.803932
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1717.597067
Excluding Family Labour,1,rice-maize-coconut-areca palm,45.26385211
Excluding Family Labour,1,rice-maize-coconut-areca palm,1885.562348
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2715.220808
Excluding Family Labour,1,rice-maize-coconut-areca palm,3495.32735
Excluding Family Labour,1,rice-maize-coconut-areca palm,2401.308693
Excluding Family Labour,1,rice-maize-coconut-areca palm,-8854.479514
Excluding Family Labour,1,rice-maize-coconut-areca palm,1934.274474
Excluding Family Labour,1,rice-maize-coconut-areca palm,-762.8985711
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1636.892917
Excluding Family Labour,1,rice-maize-coconut-areca palm,-5648.287805
Excluding Family Labour,1,rice-maize-coconut-areca palm,-60.84454038
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4708.505122
Excluding Family Labour,1,rice-maize-coconut-areca palm,-806.6210996
Excluding Family Labour,1,rice-maize-coconut-areca palm,1136.754915
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1566.429289
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3415.278445
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1819.713513
Excluding Family Labour,1,rice-maize-coconut-areca palm,2718.471935
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2408.194529
Excluding Family Labour,1,rice-maize-coconut-areca palm,-191.8897688
Excluding Family Labour,1,rice-maize-coconut-areca palm,460.8395171
Excluding Family Labour,1,rice-maize-coconut-areca palm,-647.538885
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1521.667659
Excluding Family Labour,1,rice-maize-coconut-areca palm,-5441.719653
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4519.797947
Excluding Family Labour,1,rice-maize-coconut-areca palm,547.3247053
Excluding Family Labour,1,rice-maize-coconut-areca palm,2776.123301
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4443.130947
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1180.215244
Excluding Family Labour,1,rice-maize-coconut-areca palm,-6485.85893
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3099.304594
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4670.644479
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1296.328316
Excluding Family Labour,1,rice-maize-coconut-areca palm,-512.7341821
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4420.354478
Excluding Family Labour,1,rice-maize-coconut-areca palm,1279.090692
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3690.569589
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1832.942023
Excluding Family Labour,1,rice-maize-coconut-areca palm,1553.828666
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1667.051976
Excluding Family Labour,1,rice-maize-coconut-areca palm,-5570.974678
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4947.999585
