Label,Desc,Decision Option,Tradeoff
Including Family Labour,2,rubber-areca palm-durian,22576.82643
Including Family Labour,2,rubber-areca palm-durian,9836.768529
Including Family Labour,2,rubber-areca palm-durian,7751.94313
Including Family Labour,2,rubber-areca palm-durian,19353.47566
Including Family Labour,2,rubber-areca palm-durian,22348.76257
Including Family Labour,2,rubber-areca palm-durian,12136.0099
Including Family Labour,2,rubber-areca palm-durian,19329.33474
Including Family Labour,2,rubber-areca palm-durian,12695.04906
Including Family Labour,2,rubber-areca palm-durian,13086.19431
Including Family Labour,2,rubber-areca palm-durian,7742.976531
Including Family Labour,2,rubber-areca palm-durian,16419.53619
Including Family Labour,2,rubber-areca palm-durian,16203.03434
Including Family Labour,2,rubber-areca palm-durian,6801.25741
Including Family Labour,2,rubber-areca palm-durian,20424.33627
Including Family Labour,2,rubber-areca palm-durian,6460.669897
Including Family Labour,2,rubber-areca palm-durian,13742.21382
Including Family Labour,2,rubber-areca palm-durian,35415.19969
Including Family Labour,2,rubber-areca palm-durian,-559.4217273
Including Family Labour,2,rubber-areca palm-durian,7484.144347
Including Family Labour,2,rubber-areca palm-durian,7918.287561
Including Family Labour,2,rubber-areca palm-durian,19248.91881
Including Family Labour,2,rubber-areca palm-durian,13942.42612
Including Family Labour,2,rubber-areca palm-durian,2990.893559
Including Family Labour,2,rubber-areca palm-durian,15452.04429
Including Family Labour,2,rubber-areca palm-durian,25256.12019
Including Family Labour,2,rubber-areca palm-durian,11219.26003
Including Family Labour,2,rubber-areca palm-durian,11668.66878
Including Family Labour,2,rubber-areca palm-durian,6653.642346
Including Family Labour,2,rubber-areca palm-durian,26462.12533
Including Family Labour,2,rubber-areca palm-durian,1857.16325
Including Family Labour,2,rubber-areca palm-durian,16958.9651
Including Family Labour,2,rubber-areca palm-durian,13344.57152
Including Family Labour,2,rubber-areca palm-durian,8571.345039
Including Family Labour,2,rubber-areca palm-durian,9348.00677
Including Family Labour,2,rubber-areca palm-durian,18238.87396
Including Family Labour,2,rubber-areca palm-durian,12924.48041
Including Family Labour,2,rubber-areca palm-durian,10282.75921
Including Family Labour,2,rubber-areca palm-durian,23535.68998
Including Family Labour,2,rubber-areca palm-durian,22247.18255
Including Family Labour,2,rubber-areca palm-durian,9725.313417
Including Family Labour,2,rubber-areca palm-durian,25633.27884
Including Family Labour,2,rubber-areca palm-durian,8381.947284
Including Family Labour,2,rubber-areca palm-durian,9743.615644
Including Family Labour,2,rubber-areca palm-durian,6604.94145
Including Family Labour,2,rubber-areca palm-durian,11915.67112
Including Family Labour,2,rubber-areca palm-durian,24690.9411
Including Family Labour,2,rubber-areca palm-durian,15202.93794
Including Family Labour,2,rubber-areca palm-durian,31224.68027
Including Family Labour,2,rubber-areca palm-durian,20540.11786
Including Family Labour,2,rubber-areca palm-durian,6288.407651
Including Family Labour,2,rubber-areca palm-durian,4649.975059
Including Family Labour,2,rubber-areca palm-durian,7813.107187
Including Family Labour,2,rubber-areca palm-durian,18986.52862
Including Family Labour,2,rubber-areca palm-durian,23833.18326
Including Family Labour,2,rubber-areca palm-durian,17022.79993
Including Family Labour,2,rubber-areca palm-durian,19320.42016
Including Family Labour,2,rubber-areca palm-durian,10647.08507
Including Family Labour,2,rubber-areca palm-durian,4694.735932
Including Family Labour,2,rubber-areca palm-durian,10325.63165
Including Family Labour,2,rubber-areca palm-durian,10981.3198
Including Family Labour,2,rubber-areca palm-durian,5357.975667
Including Family Labour,2,rubber-areca palm-durian,21440.00124
Including Family Labour,2,rubber-areca palm-durian,19846.48933
Including Family Labour,2,rubber-areca palm-durian,23284.05782
Including Family Labour,2,rubber-areca palm-durian,10641.6327
Including Family Labour,2,rubber-areca palm-durian,15246.98781
Including Family Labour,2,rubber-areca palm-durian,14164.38645
Including Family Labour,2,rubber-areca palm-durian,9137.438905
Including Family Labour,2,rubber-areca palm-durian,37025.31368
Including Family Labour,2,rubber-areca palm-durian,15197.24076
Including Family Labour,2,rubber-areca palm-durian,20143.57358
Including Family Labour,2,rubber-areca palm-durian,5019.863179
Including Family Labour,2,rubber-areca palm-durian,17032.95478
Including Family Labour,2,rubber-areca palm-durian,14661.72504
Including Family Labour,2,rubber-areca palm-durian,13886.25102
Including Family Labour,2,rubber-areca palm-durian,13900.39683
Including Family Labour,2,rubber-areca palm-durian,8490.771473
Including Family Labour,2,rubber-areca palm-durian,14764.52973
Including Family Labour,2,rubber-areca palm-durian,6376.927919
Including Family Labour,2,rubber-areca palm-durian,13091.88185
Including Family Labour,2,rubber-areca palm-durian,6142.005314
Including Family Labour,2,rubber-areca palm-durian,21756.81815
Including Family Labour,2,rubber-areca palm-durian,18993.2487
